id_store,pssstore_stars_rating,pssstore_stars_rating_count,metacritic_critic_score,is_ps4,is_indie,is_dlc,is_vr,is_opti_ps5_pro,is_remaster,is_ps_exclusive,series_count,packs_deluxe_count,has_microtransactions,dlcs_count,trophies_count,has_local_multiplayer,local_multiplayer_max_players,has_online_multiplayer,online_multiplayer_max_players,is_online_only,difficulty,hours_main_story,hours_completionist,base_price,release_year,release_month,days_to_10_percent_discount,days_to_10_percent_discount_category,days_to_25_percent_discount,days_to_25_percent_discount_category,days_to_33_percent_discount,days_to_33_percent_discount_category,days_to_50_percent_discount,days_to_50_percent_discount_category,days_to_75_percent_discount,days_to_75_percent_discount_category,has_5pct_discount_at_30d,has_10pct_discount_at_60d,has_33_percent_discount_before_0.6_year,has_50_percent_discount_before_1_year,has_75_percent_discount_before_3_year,publisher_category,publisher_game_count_cat,publisher_game_count,genre_action_aventure,genre_roles,genre_sports,genre_reflexion,genre_rapide,popularity_score,popularity_category,download_size_gb,download_size_category,voice_languages_count,localization_category,sub_languages_count,content_score,content_category,exclusif_playstation_content,visibility_score,visibility_category,pegi_unified,price_category,game_age_years,release_season,log_pssstore_stars_rating_count
EP6252-PPSA22414_00-ARITEFROMTHPS5EU,2.71,7,,0,1,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,,,,11.99,2025,1,115.0,3-6_mois,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,0,0,0,,,other,small,5,1,0,0,1,0,6.0,very_low,,,,none,,0.0,minimal,0,1.0,obscure,12,8 - 14.99,0,winter,2.0794415416798357
EP4977-PPSA06719_00-3092455468495998,3.68,127,,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,1,1,4.99,2022,4,95.0,3-6_mois,95.0,3-6_mois,95.0,3-6_mois,95.0,3-6_mois,,jamais_ou_plus,0,0,1,1,0,other,medium,6,1,0,0,0,1,49.7,medium,,,,none,,16.0,minimal,0,31.0,low,3,0 - 7.99,3,spring,4.852030263919617
EP5335-PPSA14741_00-TALEFORANNA00000,4.18,40,,1,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,,,,10.99,2023,6,22.0,0-3_mois,22.0,0-3_mois,104.0,3-6_mois,679.0,1-2_ans,,jamais_ou_plus,1,1,1,0,,indie_quality,large,21,1,0,0,1,1,27.3,low,0.71,tiny,,basic,9.0,19.0,minimal,0,37.0,low,7,8 - 14.99,2,summer,3.713572066704308
EP8925-PPSA07623_00-1204681590254868,4.33,67,7,0,1,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,,2,2,12.99,2024,4,28.0,0-3_mois,28.0,0-3_mois,28.0,0-3_mois,28.0,0-3_mois,261.0,6-12_mois,1,1,1,1,1,other,medium,7,1,0,0,1,0,43.1,medium,,,1.0,basic,5.0,38.0,light,0,62.0,high,7,8 - 14.99,1,spring,4.219507705176107
EP1661-PPSA18858_00-SYPS5ATIMETRAVEL,3.36,25,,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,4.99,2024,2,8.0,0-3_mois,50.0,0-3_mois,92.0,3-6_mois,148.0,3-6_mois,,moins_de_2_ans_sans_baisse,1,1,1,1,,other,major,77,1,0,0,1,0,19.2,very_low,,,1.0,minimal,1.0,19.0,minimal,0,28.0,low,12,0 - 7.99,1,winter,3.258096538021482
EP1661-PPSA07672_00-SYPS5AWINTERSDAY,3.87,339,,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,1,5.99,2022,6,209.0,6-12_mois,209.0,6-12_mois,209.0,6-12_mois,209.0,6-12_mois,,jamais_ou_plus,0,0,1,1,0,other,major,77,1,0,0,1,0,66.4,high,,,,none,,19.0,minimal,0,54.0,moderate,3,0 - 7.99,3,summer,5.8289456176102075
EP0896-PPSA05310_00-RGAYEAROFSPRINGS,4.43,221,,1,1,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,2,2,2,4.99,2021,12,90.0,0-3_mois,90.0,0-3_mois,90.0,0-3_mois,377.0,1-2_ans,,jamais_ou_plus,0,0,1,0,0,specialized,major,230,1,0,0,1,1,58.7,medium,0.11,tiny,,basic,7.0,34.0,light,0,71.0,high,12,0 - 7.99,4,winter,5.402677381872279
EP6718-PPSA21625_00-0549073236251199,4.57,7,,0,1,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,8,,,14.99,2024,10,27.0,0-3_mois,27.0,0-3_mois,85.0,0-3_mois,85.0,0-3_mois,223.0,6-12_mois,1,1,1,1,1,indie_quality,large,38,1,0,0,0,0,4.3,very_low,,,,none,,0.0,minimal,0,10.0,obscure,7,8 - 14.99,1,fall,2.0794415416798357
EP2430-PPSA18294_00-0674208355777211,3.69,52,,0,1,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,11,4,4,14.99,2024,3,119.0,3-6_mois,119.0,3-6_mois,271.0,6-12_mois,532.0,1-2_ans,,moins_de_2_ans_sans_baisse,0,0,0,0,,other,medium,8,0,0,0,1,1,36.5,low,1.83,small,,standard,18.0,41.0,standard,0,28.0,low,3,8 - 14.99,1,spring,3.970291913552122
UB0837-PPSA29719_00-0915095507230590,3.52,46,,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,,,,4.99,2025,4,51.0,0-3_mois,51.0,0-3_mois,51.0,0-3_mois,51.0,0-3_mois,51.0,0-3_mois,0,1,1,1,1,other,medium,10,1,0,1,0,1,43.5,medium,,,,none,,12.0,minimal,0,11.0,obscure,7,0 - 7.99,0,spring,3.8501476017100584
UB0768-PPSA27006_00-0584138825083288,1.85,157,,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,,,,8.99,2025,1,53.0,0-3_mois,53.0,0-3_mois,53.0,0-3_mois,53.0,0-3_mois,,moins_de_2_ans_sans_baisse,0,1,1,1,,indie_quality,large,28,1,0,0,1,0,64.6,high,,,,none,,12.0,minimal,0,57.0,moderate,12,8 - 14.99,0,winter,5.062595033026967
EP8908-PPSA02861_00-HAMPRDC000000001,4.19,93,,0,0,0,0,0,0,0,20,0,0,0,21,1,2,1,1,0,,,,8.99,2025,2,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,0,0,0,,,specialized,medium,11,0,0,1,0,0,56.1,medium,,,,none,,28.0,light,0,60.0,moderate,12,8 - 14.99,0,winter,4.543294782270004
EP4389-PPSA09352_00-AEWRESTLINGPS5EU,2.55,10310,64,1,0,0,0,0,0,0,0,3,1,20,39,1,4,1,4,0,3,4,4,39.99,2023,6,272.0,6-12_mois,384.0,1-2_ans,384.0,1-2_ans,384.0,1-2_ans,,jamais_ou_plus,0,0,0,0,,aaa,large,21,1,0,1,0,0,94.7,very_high,16.01,medium,1.0,basic,8.0,100.0,extensive,0,99.0,very_high,16,25 - 39.99,2,summer,9.240966565517944
EP2854-PPSA18112_00-0732848335678426,3.93,765,,1,1,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,,1,1,9.99,2023,12,664.0,1-2_ans,664.0,1-2_ans,664.0,1-2_ans,664.0,1-2_ans,,moins_de_2_ans_sans_baisse,0,0,0,0,,other,unique,1,1,0,0,0,1,79.1,high,1.7,small,1.0,basic,11.0,53.0,standard,1,68.0,high,12,8 - 14.99,2,winter,6.641182169740591
EP6665-PPSA09465_00-AFL2300000000000,2.8,927,,1,0,0,0,0,0,0,0,1,1,0,27,1,4,1,2,0,3,10,,39.99,2023,5,469.0,1-2_ans,637.0,1-2_ans,637.0,1-2_ans,637.0,1-2_ans,,jamais_ou_plus,0,0,0,0,,aa,major,56,1,0,1,1,0,79.8,high,51.8,huge,1.0,minimal,1.0,84.0,extensive,0,86.0,very_high,3,25 - 39.99,2,spring,6.833031732786201
EP6665-PPSA28051_00-AFL25DELUXE00001,3.13,265,,1,0,0,0,0,0,0,0,1,1,0,23,1,4,1,2,1,,,,69.99,2025,6,0.0,0-3_mois,99.0,3-6_mois,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,1,1,,,,aa,major,56,0,0,1,1,0,73.7,high,38.0,large,1.0,minimal,1.0,66.0,rich,0,81.0,very_high,16,40+,0,summer,5.583496308781699
